what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192180347
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192201468
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192207135
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192207174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192214066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192214845
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192219103
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192220418
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192225283
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192252067
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192262050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192300454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192301257
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192304852
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192306154
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192310977
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192312905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483192317908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483192319772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483192333359
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1483192333879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192334189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192338134
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192341122
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192342450
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192347339
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192423752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483192498012
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1483192498611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192498888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192503067
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192510297
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192511635
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192517406
error,log,,,"Unable to validate connection settings.",1483192521326
error,log,,,"Unable to validate connection settings.",1483192521327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192521341
error,log,,,"Unable to validate connection settings.",1483192521738
error,log,,,"Unable to validate connection settings.",1483192521739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192525217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192526401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192527403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192528717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192551272
error,log,,,"Unable to validate connection settings.",1483192559853
error,log,,,"Unable to validate connection settings.",1483192559855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192559866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192561806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192568939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192569493
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1483192569500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192569774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192570882
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192570899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192570923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192573423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192591428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192595422
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483192598312
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1483192598980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192602825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192604511
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1483192618421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192618539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192618614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192620647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192633407
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1483192633414
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192635408
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192636426
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192641042
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192675930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483192700749
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1483192701304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192701609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192705874
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192711664
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192712738
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192717300
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192773319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192788540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192789304
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192792858
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1483192793909
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1483192798510
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1483192828260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483192835662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193280524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193283030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193284582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193287503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193288737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483193363192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483195404449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483195404553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483195404635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483195406603
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1483195406674
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483195406730
