what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1480490473202
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1480490473265
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1480490473280
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1480490473280
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1480490473327
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1480490473327
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1480490473374
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1480490473405
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1480490473421
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1480490473514
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480490473546
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1480490473592
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480490473624
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1480490473624
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1480490473655
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1480490473655
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1480490473655
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1480490473655
os,sysinfo,,,"win32",1480490473655
arch,sysinfo,,,"x86",1480490473655
ws,sysinfo,,,"win32",1480490473655
locale,sysinfo,,,"en_US",1480490473655
processors,sysinfo,,,"2",1480490473655
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480490473655
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1480490473655
